Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "EEGAmp_SMT_MountHole.brd" as of: 9/16/2023 1:49 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,0.810,1.046,0
C2,Top,0.842,1.130,270
C3,Top,1.075,0.830,180
R1,Top,0.824,0.919,180
R2,Top,0.975,0.830,180
R3,Top,0.879,0.829,180
R4,Top,0.823,0.961,0
R5,Top,1.190,1.170,0
R6,Top,1.075,1.170,0
R7,Top,0.823,1.002,180
R8,Top,0.797,1.134,270
U1,Top,1.050,1.000,90
