Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "EEGAmp_SMT_OPA4377.brd" as of: 9/17/2023 9:01 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,0.890,1.005,270
C2,Top,1.170,0.825,0
C3,Top,1.075,1.180,180
C4,Top,1.200,1.090,270
IC1,Top,1.025,1.000,270
R1,Top,1.175,1.155,0
R2,Top,1.160,1.010,90
R3,Top,1.155,1.095,90
R4,Top,0.915,1.175,180
R5,Top,1.020,0.825,0
R6,Top,0.940,0.825,0
R7,Top,0.895,1.105,270
R8,Top,1.175,0.870,0
